Year,Month,Day,TSU,EQ,Latitude,Longitude,VEI,DEATHS
1982,4,4,,,17.36,-93.228,5,33
1982,5,17,,,-7.25,108.05,4,68
1982,5,27,,,17.36,-93.228,5,1
1983,3,8,,,56.057,160.638,2,1
1983,7,23,,,-0.17,121.608,4,
1983,8,17,TSU,,-8.54,123.59,1,
1983,10,3,,EQ,34.08,139.53,3,
1984,8,15,,,6.25,10.5,,37
1984,9,9,,,13.257,123.685,3,1
1984,9,14,,,35.9,137.48,,29
1984,10,16,,,37.734,15.004,3,1
1985,5,10,,,-8.108,112.92,3,70
1985,11,13,,,4.895,-75.322,3,23080
1985,12,19,,,37.734,15.004,1,1
1986,5,8,,,39.97,140.77,,1
1986,7,24,,,38.789,15.213,2,1
1986,8,21,,,6.25,10.5,3,1700
1986,10,15,,,-7.542,110.442,2,1
1986,11,15,,,34.73,139.38,3,1
1987,1,25,,,14.381,-90.601,3,
1987,4,17,,,37.734,15.004,2,2
1987,12,1,,EQ,-8.51,124.148,,
1988,5,9,,,-4.525,129.871,3,4
1988,7,6,,,10.463,-84.703,3,1
1988,7,30,,,-8.108,112.92,3,1
1988,12,25,,,-38.377,-71.58,3,1
1988,,,,,39.97,140.77,,3
1989,2,12,,,32.88,131.1,,1
